analysis_type,analysis_label,direction,pathway_library,pathway,enrichment_p_value,enrichment_adjusted_p_value,overlap_count,overlap_size,overlap,input_candidate_count,gene_ratio,candidate_genes,Level1_count,Level2_count,Level3_count,Level4_count,Level5_count,strongest_candidate_origin,pathway_priority
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,0.0130651118387525,0.0932079427787503,3,102,3/102,96,0.03125,PSMC6;ERLIN1;ABCF1,0,0,0,2,1,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,MHC Class II Antigen Presentation R-HSA-2132295,0.0137622465847819,0.0932079427787503,3,104,3/104,96,0.03125,DCTN6;CENPE;DCTN3,0,0,0,3,0,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,DNA Damage Recognition In GG-NER R-HSA-5696394,0.0136147863977474,0.0932079427787503,2,37,2/37,96,0.020833333333333332,DDB1;RBX1,0,0,0,2,0,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Defective B3GALTL Causes PpS R-HSA-5083635,0.0136147863977474,0.0932079427787503,2,37,2/37,96,0.020833333333333332,SPON1;THBS1,0,0,0,2,0,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,O-glycosylation Of TSR Domain-Containing Proteins R-HSA-5173214,0.014326700730156,0.0941769886232318,2,38,2/38,96,0.020833333333333332,SPON1;THBS1,0,0,0,2,0,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,HSP90 Chaperone Cycle For Steroid Hormone Receptors (SHR) In Presence Of Ligand R-HSA-3371497,0.014326700730156,0.0941769886232318,2,38,2/38,96,0.020833333333333332,DCTN6;DCTN3,0,0,0,2,0,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,0.0148470619545029,0.0944854613142195,3,107,3/107,96,0.03125,LCN2;F13A1;HMOX1,0,0,0,3,0,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,0.0152191347083306,0.0944854613142195,3,108,3/108,96,0.03125,RPS29;RPL12;RPL27,0,0,0,2,1,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827,0.0152191347083306,0.0944854613142195,3,108,3/108,96,0.03125,RPS29;RPL12;RPL27,0,0,0,2,1,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706,0.0155964553753425,0.0955015829147686,3,109,3/109,96,0.03125,RPS29;RPL12;RPL27,0,0,0,2,1,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Nervous System Development R-HSA-9675108,0.0159417853860955,0.0962970009133069,7,545,7/545,96,0.07291666666666667,PSMC6;ROCK1;RPS29;RPL12;MSN;RPL27;RBX1,0,0,0,3,4,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957,0.0167599794435415,0.0972949456008192,3,112,3/112,96,0.03125,RPS29;RPL12;RPL27,0,0,0,2,1,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Dual Incision In GG-NER R-HSA-5696400,0.0165565742985047,0.0972949456008192,2,41,2/41,96,0.020833333333333332,DDB1;RBX1,0,0,0,2,0,Level 4,Priority 4 — Exploratory
