analysis_type,analysis_label,direction,pathway_library,pathway,enrichment_p_value,enrichment_adjusted_p_value,overlap_count,overlap_size,overlap,input_candidate_count,gene_ratio,candidate_genes
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,Reactome_2022,Extracellular Matrix Organization R-HSA-1474244,0.13126587291604472,0.17041534378574227,1,291,1/291,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,Reactome_2022,FGFR1 Mutant Receptor Activation R-HSA-1839124,0.014223170653608095,0.042100585134679964,1,30,1/30,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,Reactome_2022,FLT3 Signaling In Disease R-HSA-9682385,0.012808180196645688,0.042100585134679964,1,27,1/27,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,Reactome_2022,FLT3 Signaling R-HSA-9607240,0.017518505778864404,0.044978903640269484,1,37,1/37,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,Reactome_2022,Gene Expression (Transcription) R-HSA-74160,0.5245858128291946,0.5391576409633388,1,1449,1/1449,6,0.16666666666666666,PRMT5
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,Reactome_2022,Generic Transcription Pathway R-HSA-212436,0.4524405192708123,0.48522606414550884,1,1190,1/1190,6,0.16666666666666666,PRMT5
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,Reactome_2022,Golgi-to-ER Retrograde Transport R-HSA-8856688,0.05227584242755727,0.08230664552423911,1,112,1/112,6,0.16666666666666666,DCTN6
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,Reactome_2022,Growth Hormone Receptor Signaling R-HSA-982772,0.011391565336773135,0.042100585134679964,1,24,1/24,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,Reactome_2022,HSP90 Chaperone Cycle For Steroid Hormone Receptors (SHR) In Presence Of Ligand R-HSA-3371497,0.01798854763812243,0.044978903640269484,1,38,1/38,6,0.16666666666666666,DCTN6
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,Reactome_2022,Immune System R-HSA-168256,0.04718222276166059,0.07758854409695297,3,1943,3/1943,6,0.5,DCTN6;VTN;STAT5B
