analysis_type,analysis_label,direction,pathway_library,pathway,candidate_gene,row_position,Gene.name,Accession,candidate_origin,log2FC,t_statistic,p_value,q_value
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",COX6B1,574,COX6B1,P14854,Level 4,-0.8481437768077846,-2.26151581982374,0.0363439447643673,0.333718932065336
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",ETFB,840,ETFB,P38117,Level 4,-0.6549000347567713,-3.2796708180912755,0.0041639610103359,0.1410721273329341
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",ETFDH,1410,ETFDH,Q16134,Level 4,-1.4482844535582051,-3.1666297838943147,0.0053399088446603,0.154354207510607
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",NDUFA10,215,NDUFA10,O95299,Level 2,-0.6781385595917442,-4.914862263119036,0.0001116646877657,0.0199473737690687
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",NDUFA12,1850,NDUFA12,Q9UI09,Level 4,-0.7155099953353954,-2.5857692556957543,0.0186486238419878,0.2742757355037173
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",SDHA,1950,SDHA,P31040,Level 4,-1.4314319733480083,-4.031310205780123,0.0007832672704533,0.061793456021259
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",UQCR11,84,UQCR11,O14957,Level 5,-0.2888435184270044,-2.632188905809535,0.0169131153031397,0.2629920469856457
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",UQCRC1,781,UQCRC1,P31930,Level 4,-0.7249435000501165,-3.4484794061301765,0.0028663922579254,0.1224447997135562
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",UQCRC2,674,UQCRC2,P22695,Level 5,-0.5030463356712289,-2.4492103867595496,0.0247838565957549,0.2929205539099461
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",UQCRH,433,UQCRH,P07919,Level 4,-1.4079438953045234,-3.876621172551321,0.0011055398868052,0.0749098578473215
