analysis_type,direction,pathway_library,pathway,enrichment_adjusted_p_value,candidate_gene_count,candidate_genes_reconstructed
primary_fdr,decreased,GO_Biological_Process_2023,Protein Transmembrane Import Into Intracellular Organelle (GO:0044743),0.0464680270675297,1,HSPD1
primary_fdr,decreased,GO_Biological_Process_2023,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),0.0490111404347283,1,NDUFA10
primary_fdr,decreased,GO_Biological_Process_2023,Regulation Of Autophagosome Maturation (GO:1901096),0.0464680270675297,1,FYCO1
primary_fdr,decreased,GO_Biological_Process_2023,Regulation Of Interferon-Alpha Production (GO:0032647),0.0464680270675297,1,HSPD1
primary_fdr,decreased,GO_Biological_Process_2023,Regulation Of Interleukin-10 Production (GO:0032653),0.0480368755489959,1,HSPD1
primary_fdr,decreased,GO_Biological_Process_2023,Regulation Of Interleukin-12 Production (GO:0032655),0.0490111404347283,1,HSPD1
primary_fdr,decreased,GO_Biological_Process_2023,Regulation Of Intracellular Transport (GO:0032386),0.048010042856707,1,GAS1
primary_fdr,decreased,GO_Biological_Process_2023,Regulation Of Macrophage Activation (GO:0043030),0.0464680270675297,1,HSPD1
primary_fdr,decreased,GO_Biological_Process_2023,Regulation Of Protein Processing (GO:0070613),0.0464680270675297,1,GAS1
primary_fdr,decreased,GO_Biological_Process_2023,Regulation Of Smoothened Signaling Pathway (GO:0008589),0.0490111404347283,1,GAS1
primary_fdr,decreased,GO_Biological_Process_2023,Regulation Of T Cell Mediated Immune Response To Tumor Cell (GO:0002840),0.0464680270675297,1,HSPD1
primary_fdr,decreased,GO_Biological_Process_2023,Response To Unfolded Protein (GO:0006986),0.048010042856707,1,HSPD1
primary_fdr,decreased,GO_Biological_Process_2023,Secondary Alcohol Biosynthetic Process (GO:1902653),0.0464680270675297,1,TM7SF2
primary_fdr,decreased,GO_Biological_Process_2023,Sterol Biosynthetic Process (GO:0016126),0.0464680270675297,1,TM7SF2
primary_fdr,decreased,GO_Biological_Process_2023,Toll-Like Receptor Signaling Pathway (GO:0002224),0.0464680270675297,1,HSPD1
primary_fdr,decreased,GO_Biological_Process_2023,Vesicle Transport Along Microtubule (GO:0047496),0.0464680270675297,1,FYCO1
